name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Tugalin-Bulen,24062,H6,10000,1967,45.46667,105.38333,"(45.46667, 105.38333)"
Tulung Dzong,24071,Stone-uncl,,1944,30,90.75,"(30.0, 90.75)"
Turtle Lake,47343,L5,89.3,1996,45.34583,-92.05167,"(45.34583, -92.05167)"
Tuxtuac,24086,LL5,30000,1975,21.66667,-103.36667,"(21.66667, -103.36667)"
Tysnes Island,24094,H4,19860,1884,60,5.61667,"(60.0, 5.61667)"
Tyumen,24095,Iron,750,1903,57.16667,65.53333,"(57.16667, 65.53333)"
Uberaba,24096,H5,40000,1903,-19.81667,-48.78333,"(-19.81667, -48.78333)"
Ucera,24097,H5,4590,1970,11.05,-69.85,"(11.05, -69.85)"
Uchkuduk,24098,L6,1000,1989,41.76667,62.51667,"(41.76667, 62.51667)"
Udaipur,24099,H3,2000,1976,,,
Udei Station,24101,"Iron, IAB-ung",103000,1927,7.95,8.08333,"(7.95, 8.08333)"
Uden,24103,LL7,710,1840,51.65,5.61667,"(51.65, 5.61667)"
Udipi,24104,H5,3600,1866,13.48333,74.78333,"(13.48333, 74.78333)"
Ufana,24106,EL6,189.2,1957,-4.26667,35.35,"(-4.26667, 35.35)"
Ulmiz,24108,L,76.5,1926,46.93333,7.21667,"(46.93333, 7.21667)"
Umbala,24112,LL5,100,1822,30.33333,76.33333,"(30.33333, 76.33333)"
Umm Ruaba,24118,L5,1700,1966,13.46667,31.21667,"(13.46667, 31.21667)"
Undulung,24121,L4,113.4,1986,66.13889,124.76667,"(66.13889, 124.76667)"
Unkoku,24123,OC,1000,1924,34.8,127,"(34.8, 127.0)"
Urasaki,24129,Stone-uncl,1500,1926,34.48333,133.28333,"(34.48333, 133.28333)"
Usti Nad Orlici,24132,L6,1269,1963,49.975,16.375,"(49.975, 16.375)"
Utrecht,24135,L6,9700,1843,52.11667,5.18333,"(52.11667, 5.18333)"
Utzenstorf,24136,H5,3422,1928,47.11667,7.55,"(47.11667, 7.55)"
Vago,24143,H6,40,1668,45.41667,11.13333,"(45.41667, 11.13333)"
Valdavur,24144,H6,2799,1944,11.98333,79.75,"(11.98333, 79.75)"
Valdinizza,24145,L6,1004,1903,44.86667,9.15,"(44.86667, 9.15)"
Valdinoce,24146,Stone-uncl,,1495,44.06667,12.1,"(44.06667, 12.1)"
Valera,24149,L5,50000,1972,9.31667,-70.62833,"(9.31667, -70.62833)"
Varre-Sai,53633,L5,2500,2010,-20.85001,-41.73356,"(-20.85001, -41.73356)"
Vavilovka,24154,LL6,1932,1876,46.15,32.83333,"(46.15, 32.83333)"
Vengerovo,24158,H5,10800,1950,56.13333,77.26667,"(56.13333, 77.26667)"
Veramin,24162,Mesosiderite-B2,54000,1880,35.33333,51.63333,"(35.33333, 51.63333)"
Verkhne Tschirskaia,24165,H5,8000,1843,48.41667,43.2,"(48.41667, 43.2)"
Vernon County,24168,H6,1500,1865,43.5,-91.16667,"(43.5, -91.16667)"
Vetluga,24169,Eucrite-mmict,750,1949,57.8,45.8,"(57.8, 45.8)"
Vigarano,24174,CV3,15000,1910,44.85,11.4,"(44.85, 11.4)"
Villalbeto de la Peña,24179,L6,3500,2004,42.8,-4.66667,"(42.8, -4.66667)"
Villarrica,24181,Stone-uncl,,1925,-25.83333,-56.5,"(-25.83333, -56.5)"
