name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Boumdeid (2003),57168,L6,190,2003,17.71067,-11.3715,"(17.71067, -11.3715)"
Boumdeid (2011),57167,L6,3599,2011,17.17493,-11.34133,"(17.17493, -11.34133)"
Bovedy,5121,L3,5460,1969,54.56667,-6.33333,"(54.56667, -6.33333)"
Bradford Woods,5128,L,762,1886,40.5,-80.08333,"(40.5, -80.08333)"
Braunau,5133,"Iron, IIAB",39000,1847,50.6,16.3,"(50.6, 16.3)"
Breitscheid,5134,H5,1500,1956,50.66694,8.18361,"(50.66694, 8.18361)"
Bremervörde,5135,H/L3.9,7250,1855,53.4,9.1,"(53.4, 9.1)"
Brient,5140,Eucrite-pmict,219,1933,52.13333,59.31667,"(52.13333, 59.31667)"
Bruderheim,5156,L6,303000,1960,53.9,-112.88333,"(53.9, -112.88333)"
Bukhara,30448,CV3,5300,2001,39.77978,64.60035,"(39.77978, 64.60035)"
Bulls Run,5163,Iron?,2250,1964,,,
Bunburra Rockhole,48653,Eucrite,324,2007,-31.35,129.19,"(-31.35, 129.19)"
Bununu,5165,Howardite,357,1942,10.01667,9.58333,"(10.01667, 9.58333)"
Bur-Gheluai,5169,H5,120000,1919,5,48,"(5.0, 48.0)"
Burnwell,5175,H4-an,1504,1990,37.62194,-82.23722,"(37.62194, -82.23722)"
Bursa,5177,L6,25000,1946,40.2,29.23333,"(40.2, 29.23333)"
Buschhof,5178,L6,5000,1863,46.45,25.78333,"(46.45, 25.78333)"
Bustee,5181,Aubrite,1500,1852,26.78333,82.83333,"(26.78333, 82.83333)"
Butsura,5183,H6,29000,1861,27.08333,84.08333,"(27.08333, 84.08333)"
Buzzard Coulee,48654,H4,41000,2008,52.996,-109.84817,"(52.996, -109.84817)"
Cabezo de Mayo,5185,L/LL6,25000,1870,37.98333,-1.16667,"(37.98333, -1.16667)"
Cabin Creek,5186,"Iron, IIIAB",48500,1886,35.5,-93.5,"(35.5, -93.5)"
Cacak,5187,OC,212,1919,43.83889,20.33333,"(43.83889, 20.33333)"
Cali,45976,H/L4,478,2007,3.405,-76.51,"(3.405, -76.51)"
Calivo,5200,Stone-uncl,2400,1916,11.75,122.33333,"(11.75, 122.33333)"
Campos Sales,5249,L5,23680,1991,-7.03333,-40.16667,"(-7.03333, -40.16667)"
Çanakkale,5250,L6,4000,1964,39.8,26.6,"(39.8, 26.6)"
Cañellas,5251,H4,945,1861,41.25,1.66667,"(41.25, 1.66667)"
Cangas de Onis,5252,H5,34000,1866,43.38333,-5.15,"(43.38333, -5.15)"
Canon City,5253,H6,1400,1973,38.47028,-105.24139,"(38.47028, -105.24139)"
Cape Girardeau,5260,H6,2300,1846,37.26667,-89.58333,"(37.26667, -89.58333)"
Capilla del Monte,5264,H6,750,1934,-30.88333,-64.55,"(-30.88333, -64.55)"
Carancas,45817,H4-5,342,2007,-16.66444,-69.04389,"(-16.66444, -69.04389)"
Caratash,5265,LL6,8,1902,38.5,27,"(38.5, 27.0)"
Castalia,5291,H5,7300,1874,36.08333,-78.06667,"(36.08333, -78.06667)"
Castel Berardenga,5292,Stone-uncl,,1791,43.35,11.5,"(43.35, 11.5)"
Castine,5293,L6,94,1848,44.38333,-68.75,"(44.38333, -68.75)"
Castrovillari,5295,Stone-uncl,15000,1583,39.8,16.2,"(39.8, 16.2)"
Caswell County,5296,OC,1360,1810,36.5,-79.25,"(36.5, -79.25)"
Ceniceros,5306,L3.7,1025,1988,26.46667,-105.23333,"(26.46667, -105.23333)"
Centerville,5307,H5,45.6,1956,43.2,-96.91667,"(43.2, -96.91667)"
Cereseto,5308,H5,6460,1840,45.08333,8.3,"(45.08333, 8.3)"
Chadong,5313,L6,3700,1998,28.53333,109.31667,"(28.53333, 109.31667)"
Chail,5314,H6,0.5,1814,25.36667,81.66667,"(25.36667, 81.66667)"
Chainpur,5315,LL3.4,8200,1907,25.85,83.48333,"(25.85, 83.48333)"
Chajari,5316,L5,18300,1933,-30.78333,-58.05,"(-30.78333, -58.05)"
Chandakapur,5320,L5,8800,1838,20.26667,76.01667,"(20.26667, 76.01667)"
Chandpur,5321,L6,1100,1885,27.28333,79.05,"(27.28333, 79.05)"
Changde,5322,H5,1810,1977,29.08333,111.75,"(29.08333, 111.75)"
Chantonnay,5325,L6,31500,1812,46.68333,1.05,"(46.68333, 1.05)"
Charlotte,5328,"Iron, IVA",4300,1835,36.16667,-87.33333,"(36.16667, -87.33333)"
Charsonville,5329,H6,27000,1810,47.93333,1.56667,"(47.93333, 1.56667)"
Charwallas,5330,H6,12000,1834,29.48333,75.5,"(29.48333, 75.5)"
Chassigny,5331,Martian (chassignite),4000,1815,47.71667,5.36667,"(47.71667, 5.36667)"
Château-Renard,5332,L6,30000,1841,47.93333,2.91667,"(47.93333, 2.91667)"
Chaves,5334,Howardite,2945,1925,41.93333,-7.46667,"(41.93333, -7.46667)"
Chela,5338,H4,2936,1988,-3.66667,32.5,"(-3.66667, 32.5)"
Chelyabinsk,57165,LL5,100000,2013,54.81667,61.11667,"(54.81667, 61.11667)"
Chergach ,47347,H5,100000,2007,23.69639,-5.01472,"(23.69639, -5.01472)"
Chernyi Bor,5339,H4,6000,1964,53.7,30.1,"(53.7, 30.1)"
Cherokee Springs,5340,LL6,8400,1933,35.03333,-81.88333,"(35.03333, -81.88333)"
Chervettaz,5341,L5,705,1901,46.55,6.81667,"(46.55, 6.81667)"
Chervony Kut,5342,Eucrite-mmict,1700,1939,50.83333,34,"(50.83333, 34.0)"
Chetrinahatti,5344,Stone-uncl,72,1880,14.5,76.5,"(14.5, 76.5)"
Chiang Khan,5345,H6,367,1981,17.9,101.63333,"(17.9, 101.63333)"
Chicora,5349,LL6,303,1938,40.93333,-79.73333,"(40.93333, -79.73333)"
Chisenga,5355,"Iron, IIIAB",3920,1988,-10.05944,33.395,"(-10.05944, 33.395)"
Chitado,5356,L6,,1966,-17.35,13.96667,"(-17.35, 13.96667)"
Chitenay,5357,L6,4000,1978,47.47083,0.97667,"(47.47083, 0.97667)"
Cilimus,5364,L5,1600,1979,-6.95,108.1,"(-6.95, 108.1)"
Claxton,5374,L6,1455,1984,32.1025,-81.87278,"(32.1025, -81.87278)"
Clohars,5383,L4,48.6,1822,,,
Colby (Wisconsin),5395,L6,104000,1917,44.9,-90.28333,"(44.9, -90.28333)"
Cold Bokkeveld,5397,CM2,5200,1838,-33.13333,19.38333,"(-33.13333, 19.38333)"
Coleman,5401,L6,469,1994,43.76111,-84.50778,"(43.76111, -84.50778)"
Collescipoli,5403,H5,5000,1890,42.53333,12.61667,"(42.53333, 12.61667)"
Conquista,5418,H4,20350,1965,-19.85,-47.55,"(-19.85, -47.55)"
Cosina,5451,H5,1200,1844,21.16667,-100.86667,"(21.16667, -100.86667)"
Cranganore,5465,L6,1460,1917,10.2,76.26667,"(10.2, 76.26667)"
Crescent,5470,CM2,78.4,1936,35.95,-97.58333,"(35.95, -97.58333)"
Cronstad,5474,H5,3650,1877,-27.7,27.3,"(-27.7, 27.3)"
Cross Roads,5476,H5,167,1892,35.63333,-78.13333,"(35.63333, -78.13333)"
Crumlin,5477,L5,4255,1902,54.61667,-6.21667,"(54.61667, -6.21667)"
Cumberland Falls,5496,Aubrite,17000,1919,36.83333,-84.35,"(36.83333, -84.35)"
Cynthiana,5500,L/LL4,6000,1877,38.4,-84.25,"(38.4, -84.25)"
Dahmani,5504,LL6,18000,1981,35.61667,8.83333,"(35.61667, 8.83333)"
Dandapur,5511,L6,5650,1878,26.91667,83.96667,"(26.91667, 83.96667)"
Daniel's Kuil,5513,EL6,1064,1868,-28.2,24.56667,"(-28.2, 24.56667)"
Danville,5514,L6,2000,1868,34.4,-87.06667,"(34.4, -87.06667)"
Darmstadt,6603,H5,100,1804,49.86667,8.65,"(49.86667, 8.65)"
Dashoguz,6604,H5,7000,1998,41.98444,59.685,"(41.98444, 59.685)"
Daule,51559,L5,6580,2008,-1.87089,-79.95756,"(-1.87089, -79.95756)"
De Cewsville,6621,H6,340,1887,43,-80,"(43.0, -80.0)"
Deal,6634,L6,28,1829,40.25,-74,"(40.25, -74.0)"
Delhi,6642,L5,0.8,1897,28.56667,77.25,"(28.56667, 77.25)"
Demina,6649,L6,16400,1911,51.46667,84.76667,"(51.46667, 84.76667)"
Denver,6660,L6,230,1967,39.7825,-104.93056,"(39.7825, -104.93056)"
Dergaon,6664,H5,12500,2001,26.68333,93.86667,"(26.68333, 93.86667)"
Desuri,6693,H6,25400,1962,25.73333,73.61667,"(25.73333, 73.61667)"
Devgaon,6694,H3.8,12000,2001,19,81,"(19.0, 81.0)"
Devri-Khera,6696,L6,1140,1994,24.225,76.525,"(24.225, 76.525)"
Dhajala,6698,H3.8,45000,1976,22.37778,71.42722,"(22.37778, 71.42722)"
Dharwar,6699,OC,1800,1848,14.88333,75.6,"(14.88333, 75.6)"
Dhurmsala,7640,LL6,32000,1860,32.23333,76.46667,"(32.23333, 76.46667)"
Didim,47350,H3-5,3396,2007,37.35172,27.32997,"(37.35172, 27.32997)"
Diep River,7642,L6,1000,1906,-33.75,18.56667,"(-33.75, 18.56667)"
Distrito Quebracho,7649,H4,400,1957,-31.88333,-60.46667,"(-31.88333, -60.46667)"
Djati-Pengilon,7652,H6,166000,1884,-7.5,111.5,"(-7.5, 111.5)"
Djermaia,7656,H,3950,1961,12.73333,15.05,"(12.73333, 15.05)"
Djoumine,7657,H5-6,10000,1999,36.95,9.55,"(36.95, 9.55)"
Dokachi,7658,H5,3840,1903,23.5,90.33333,"(23.5, 90.33333)"
Dolgovoli,7659,L6,1600,1864,50.75,25.3,"(50.75, 25.3)"
Domanitch,7661,L5,438,1907,40,29,"(40.0, 29.0)"
Dong Ujimqin Qi,7706,Mesosiderite,128800,1995,45.5,119.03333,"(45.5, 119.03333)"
Donga Kohrod,7707,H6,230,1899,21.86667,82.45,"(21.86667, 82.45)"
Dongtai,7708,LL6,5500,1970,32.91667,120.78333,"(32.91667, 120.78333)"
Doroninsk,7718,H5-7,3891,1805,51.2,112.3,"(51.2, 112.3)"
Dosso,7722,L6,1250,1962,13.05,3.16667,"(13.05, 3.16667)"
Douar Mghila,7723,LL6,1161,1932,32.33333,-6.3,"(32.33333, -6.3)"
Dowa,7725,Stone-uncl,642,1976,-13.66667,33.91667,"(-13.66667, 33.91667)"
Drake Creek,7728,L6,5000,1827,36.4,-86.5,"(36.4, -86.5)"
Dresden (Ontario),7731,H6,47700,1939,42.52,-82.26,"(42.52, -82.26)"
Dubrovnik,7736,L3-6,1900,1951,42.45833,18.44167,"(42.45833, 18.44167)"
Dunbogan,7743,L6,30,1999,-31.66667,152.83333,"(-31.66667, 152.83333)"
Dundrum,7745,H5,2270,1865,52.55,-8.03333,"(52.55, -8.03333)"
Dunhua,7749,Stone-uncl,,1976,43.33333,128.25,"(43.33333, 128.25)"
Durala,7750,L6,13200,1815,30.3,76.63333,"(30.3, 76.63333)"
Duruma,7752,L6,577,1853,-4,39.5,"(-4.0, 39.5)"
Duwun,7754,L6,2117,1943,33.43333,127.26667,"(33.43333, 127.26667)"
Dwaleni,7755,H4-6,3230,1970,-27.2,31.31667,"(-27.2, 31.31667)"
Dyalpur,7757,Ureilite,300,1872,26.25,82,"(26.25, 82.0)"
Dyarrl Island,7758,Mesosiderite-A1,188,1933,-3,151,"(-3.0, 151.0)"
Eagle,7760,EL6,10000,1947,40.78167,-96.47167,"(40.78167, -96.47167)"
Ehole,7774,H5,2400,1961,-17.3,15.83333,"(-17.3, 15.83333)"
Eichstädt,7775,H5,3000,1785,48.9,11.21667,"(48.9, 11.21667)"
Ekeby,7776,H4,3336,1939,56.03333,13,"(56.03333, 13.0)"
Ekh Khera,7777,H6,840,1916,28.26667,78.78333,"(28.26667, 78.78333)"
El Idrissia,7807,L6,10000,1989,34.41667,3.25,"(34.41667, 3.25)"
El Paso de Aguila,45977,H5,17226,1977,25.37,-97.37,"(25.37, -97.37)"
El Tigre,7819,L6,5000,1993,19.96722,-103.05167,"(19.96722, -103.05167)"
Elbert,7822,LL6,680.5,1998,39.24667,-104.58817,"(39.24667, -104.58817)"
Elbogen,7823,"Iron, IID",107000,1399,50.18333,12.73333,"(50.18333, 12.73333)"
Elenovka,7824,L5,54640,1951,47.83333,37.66667,"(47.83333, 37.66667)"
Ellemeet,10019,Diogenite,1470,1925,51.75,4,"(51.75, 4.0)"
Emmaville,10033,Eucrite-mmict,127,1900,-29.46667,151.61667,"(-29.46667, 151.61667)"
Enshi,10038,H5,8000,1974,30.3,109.5,"(30.3, 109.5)"
Ensisheim,10039,LL6,127000,1491,47.86667,7.35,"(47.86667, 7.35)"
Épinal,10041,H5,277,1822,48.18333,6.46667,"(48.18333, 6.46667)"
Erakot,10042,CM2,113,1940,19.03333,81.89167,"(19.03333, 81.89167)"
Erevan,10043,Howardite,107.2,1911,40.3,44.5,"(40.3, 44.5)"
Ergheo,10044,L5,20000,1889,1.16667,44.16667,"(1.16667, 44.16667)"
Erxleben,10049,H6,2250,1812,52.21667,11.25,"(52.21667, 11.25)"
Esnandes,10051,L6,1500,1837,46.25,-1.1,"(46.25, -1.1)"
Essebi,10055,C2-ung,500,1957,2.88333,30.83333,"(2.88333, 30.83333)"
Estherville,10059,Mesosiderite-A3/4,320000,1879,43.41667,-94.83333,"(43.41667, -94.83333)"
Farmington,10074,L5,89400,1890,39.75,-97.03333,"(39.75, -97.03333)"
Farmville,10075,H4,56000,1934,35.55,-77.53333,"(35.55, -77.53333)"
Favars,10078,H5,1500,1844,44.38333,2.81667,"(44.38333, 2.81667)"
Fayetteville,10079,H4,2360,1934,36.05,-94.16667,"(36.05, -94.16667)"
Feid Chair,10080,H4,380,1875,36.88333,8.45,"(36.88333, 8.45)"
Felix,10081,CO3.3,3200,1900,32.53333,-87.16667,"(32.53333, -87.16667)"
Fenghsien-Ku,10086,H5,82,1924,34.6,116.75,"(34.6, 116.75)"
Ferguson,10088,OC,220,1889,36.1,-81.41667,"(36.1, -81.41667)"
Fermo,10091,H3-5,10200,1996,43.18111,13.75333,"(43.18111, 13.75333)"
Fisher,10107,L6,17600,1894,47.81667,-96.85,"(47.81667, -96.85)"
Florence,10111,H3,3640,1922,30.83333,-97.76667,"(30.83333, -97.76667)"
Forest City,10119,H5,152000,1890,43.25,-93.66667,"(43.25, -93.66667)"
Forest Vale,10120,H4,26000,1942,-33.35,146.85833,"(-33.35, 146.85833)"
Forksville,10123,L6,6067,1924,36.78333,-78.08333,"(36.78333, -78.08333)"
Forsbach,10163,H6,240,1900,50.95,7.31667,"(50.95, 7.31667)"
Forsyth,10164,L6,16300,1829,33.01667,-83.96667,"(33.01667, -83.96667)"
Fort Flatters,10166,Stone-uncl,,1944,28.25,7,"(28.25, 7.0)"
Frankfort (stone),10177,Howardite,650,1868,34.48333,-87.83333,"(34.48333, -87.83333)"
Fuhe,52412,L5,23000,1945,31.47556,113.56694,"(31.47556, 113.56694)"
Fukutomi,10836,L5,11620,1882,33.18333,130.2,"(33.18333, 130.2)"
Fünen,10838,Stone-uncl,,1654,55.33333,10.33333,"(55.33333, 10.33333)"
Futtehpur,10839,L6,4000,1822,25.95,80.81667,"(25.95, 80.81667)"
Fuyang,10840,Stone-uncl,2500,1977,32.9,115.9,"(32.9, 115.9)"
Galapian,10846,H6,132.7,1826,44.3,0.4,"(44.3, 0.4)"
Galim (a),10848,LL6,36.1,1952,7.05,12.43333,"(7.05, 12.43333)"
Galim (b),10849,EH3/4-an,28,1952,7.05,12.43333,"(7.05, 12.43333)"
Galkiv,10850,H4,5000,1995,51.68333,30.78333,"(51.68333, 30.78333)"
Gambat,10851,L6,6400,1897,27.35,68.53333,"(27.35, 68.53333)"
Gao-Guenie,10854,H5,,1960,11.65,-2.18333,"(11.65, -2.18333)"
Garhi Yasin,10860,"Iron, IIE",380,1917,27.88333,68.53333,"(27.88333, 68.53333)"
Garland,10861,Diogenite-pm,102,1950,41.68333,-112.13333,"(41.68333, -112.13333)"
Gashua,44882,L6,4162,1984,12.85,11.03333,"(12.85, 11.03333)"
Gasseltepaoua,10866,H5,,2000,14.15083,-2.04167,"(14.15083, -2.04167)"
Geidam,10870,H5,725,1950,12.91667,11.91667,"(12.91667, 11.91667)"
Gifu,10914,L6,14290,1909,35.53333,136.88333,"(35.53333, 136.88333)"
Girgenti,10917,L6,18000,1853,37.31667,13.56667,"(37.31667, 13.56667)"
Git-Git,10919,L6,480,1947,9.6,9.91667,"(9.6, 9.91667)"
Glanerbrug,10923,L/LL5,670,1990,52.2,6.86667,"(52.2, 6.86667)"
Glanggang,10924,H5-6,1303,1939,-7.25,107.7,"(-7.25, 107.7)"
Glasatovo,10926,H4,152000,1918,57.35,37.61667,"(57.35, 37.61667)"
Glatton,10930,L6,767,1991,52.45972,-0.3,"(52.45972, -0.3)"
Gnadenfrei,10936,H5,1750,1879,50.66667,16.76667,"(50.66667, 16.76667)"
Gopalpur,10948,H6,1600,1865,24.23333,89.05,"(24.23333, 89.05)"
Gorlovka,10949,H3.7,3618,1974,48.28333,38.08333,"(48.28333, 38.08333)"
Granes,10956,L6,9000,1964,42.9,2.25,"(42.9, 2.25)"
Grefsheim,11196,L5,45.5,1976,60.66667,11,"(60.66667, 11.0)"
Grimsby,50911,H5,215,2009,43.2,-79.61667,"(43.2, -79.61667)"
Grosnaja,11206,CV3,3500,1861,43.66667,45.38333,"(43.66667, 45.38333)"
Gross-Divina,11207,H5,10500,1837,49.26667,18.71667,"(49.26667, 18.71667)"
Grossliebenthal,11208,L6,8000,1881,46.35,30.58333,"(46.35, 30.58333)"
Grüneberg,11426,H4,1000,1841,51.93333,15.5,"(51.93333, 15.5)"
Grzempach,11429,H5,690,1910,52.86667,16.63333,"(52.86667, 16.63333)"
Gualeguaychú,11432,H6,22000,1932,-33,-58.61667,"(-33.0, -58.61667)"
Guangmingshan,11435,H5,2910,1996,39.80417,122.76389,"(39.80417, 122.76389)"
Guangnan,11436,L6,,1983,24.1,105,"(24.1, 105.0)"
Guangrao,11437,L6,1900,1980,37.1,118.4,"(37.1, 118.4)"
Guareña,11439,H6,39000,1892,38.73333,-6.01667,"(38.73333, -6.01667)"
Guêa,11440,Stone-uncl,1915,1891,43.76667,20.23333,"(43.76667, 20.23333)"
Guibga,11442,L5,288,1972,13.5,-0.68333,"(13.5, -0.68333)"
Guidder,11443,LL5,968,1949,9.91667,13.98333,"(9.91667, 13.98333)"
Gujargaon,11448,H5,2449,1982,22.98333,76.05,"(22.98333, 76.05)"
Gujba,11449,CBa,100000,1984,11.49167,11.65833,"(11.49167, 11.65833)"
Gumoschnik,11450,H5,5700,1904,42.9,24.7,"(42.9, 24.7)"
Gurram Konda,11464,L6,28,1814,13.78333,78.56667,"(13.78333, 78.56667)"
Gursum,11465,H4/5,34650,1981,9.36667,42.41667,"(9.36667, 42.41667)"
Gütersloh,11466,H3/4,1000,1851,51.91667,8.38333,"(51.91667, 8.38333)"
Gyokukei,11467,OC,1320,1930,35,127.5,"(35.0, 127.5)"
Hachi-oji,11468,H?,0.2,1817,35.65,139.33333,"(35.65, 139.33333)"
Hainaut,11472,H3-6,9000,1934,50.31667,3.73333,"(50.31667, 3.73333)"
Hallingeberg,11479,L3.4,1456,1944,57.81667,16.23333,"(57.81667, 16.23333)"
Hamlet,11485,LL4,3710,1959,41.38333,-86.6,"(41.38333, -86.6)"
Haraiya,11824,Eucrite-mmict,1000,1878,26.8,82.53333,"(26.8, 82.53333)"
Haripura,11829,CM2,315,1921,28.38333,75.78333,"(28.38333, 75.78333)"
Harleton,11830,L6,8360,1961,32.675,-94.51167,"(32.675, -94.51167)"
Harrison County,11842,L6,680,1859,38.25,-86.16667,"(38.25, -86.16667)"
Hashima,11848,H4,1110.6,1910,35.2945,136.70033,"(35.2945, 136.70033)"
Hassi-Jekna,11852,"Iron, IAB-sHL",1250,1890,28.95,0.81667,"(28.95, 0.81667)"
Hatford,11855,Stone-uncl,29000,1628,51.65,-1.51667,"(51.65, -1.51667)"
Haverö,11859,Ureilite,1544,1971,60.24556,22.06194,"(60.24556, 22.06194)"
Hedeskoga,11869,H5,3500,1922,55.46667,13.78333,"(55.46667, 13.78333)"
Hedjaz,11870,L3.7-6,6100,1910,27.33333,35.66667,"(27.33333, 35.66667)"
Heredia,11875,H5,1000,1857,10,-84.1,"(10.0, -84.1)"
Hessle,11878,H5,20000,1869,59.85,17.66667,"(59.85, 17.66667)"
Higashi-koen,11883,H5,750,1897,33.6,130.43333,"(33.6, 130.43333)"
High Possil,11884,L6,4500,1804,55.9,-4.23333,"(55.9, -4.23333)"
Hiroshima,11889,H5,414,2003,34.45,132.38333,"(34.45, 132.38333)"
Hoima,44714,H6,167.7,2003,1.345,31.47278,"(1.345, 31.47278)"
Hökmark,11893,L4,305.5,1954,64.43333,21.2,"(64.43333, 21.2)"
Holbrook,11894,L/LL6,220000,1912,34.9,-110.18333,"(34.9, -110.18333)"
Holetta,11895,Stone-uncl,1415,1923,9.06667,38.41667,"(9.06667, 38.41667)"
Homestead,11901,L5,230000,1875,41.8,-91.86667,"(41.8, -91.86667)"
Honolulu,11904,L5,2420,1825,21.3,-157.86667,"(21.3, -157.86667)"
Hotse,11913,L6,180,1956,35.66667,115.5,"(35.66667, 115.5)"
Hoxie,11915,OC,266.1,1963,39.35,-100.45,"(39.35, -100.45)"
Hraschina,11916,"Iron, IID",49000,1751,46.1,16.33333,"(46.1, 16.33333)"
Huaxi,54719,H5,1600,2010,26.46469,106.63241,"(26.46469, 106.63241)"
Hungen,11986,H6,112,1877,50.3,8.91667,"(50.3, 8.91667)"
Hvittis,11989,EL6,14000,1901,61.18333,22.68333,"(61.18333, 22.68333)"
Ibbenbüren,11992,Diogenite,2000,1870,52.28333,7.7,"(52.28333, 7.7)"
Ibitira,11993,Eucrite-mmict,2500,1957,-20,-45,"(-20.0, -45.0)"
Ibrisim,11994,OC,,1949,38,35,"(38.0, 35.0)"
Ichkala,11995,H6,3973,1936,58.2,82.93333,"(58.2, 82.93333)"
Idutywa,12000,H5,3457,1956,-32.1,28.33333,"(-32.1, 28.33333)"
Iguaracu,12003,H5,1200,1977,-23.2,-51.83333,"(-23.2, -51.83333)"
Ijopega,12004,H6,7330,1975,-6.03333,145.36667,"(-6.03333, 145.36667)"
Indarch,12027,EH4,27000,1891,39.75,46.66667,"(39.75, 46.66667)"
Independence,12028,L6,880,1917,39.08333,-94.4,"(39.08333, -94.4)"
Inner Mongolia,12037,L6,3000,1963,41,112,"(41.0, 112.0)"
Innisfree,12039,L5,4576,1977,53.415,-111.3375,"(53.415, -111.3375)"
Ipiranga,12043,H6,7000,1972,-25.5,-54.5,"(-25.5, -54.5)"
Ishinga,12049,H,1300,1954,-8.93333,33.8,"(-8.93333, 33.8)"
Isthilart,12053,H5,3050,1928,-31.18333,-57.95,"(-31.18333, -57.95)"
Itapicuru-Mirim,12056,H5,2024,1879,-3.4,-44.33333,"(-3.4, -44.33333)"
Itqiy,12058,EH7-an,4720,1990,26.59083,-12.95217,"(26.59083, -12.95217)"
Ivuna,12063,CI1,704.5,1938,-8.41667,32.43333,"(-8.41667, 32.43333)"
Jackalsfontein,12065,L6,48000,1903,-32.5,21.9,"(-32.5, 21.9)"
Jajh deh Kot Lalu,12067,EL6,973,1926,26.75,68.41667,"(26.75, 68.41667)"
Jalanash,12068,Ureilite,700,1990,,,
Jalandhar,12069,Iron,1967,1621,31,75,"(31.0, 75.0)"
Jamkheir,12072,H6,22,1866,18.75,75.33333,"(18.75, 75.33333)"
Jartai,12074,L6,20500,1979,39.7,105.8,"(39.7, 105.8)"
Jelica,12078,LL6,34000,1889,43.83333,20.44167,"(43.83333, 20.44167)"
Jemlapur,12079,L6,450,1901,,,
Jesenice,51589,L6,3667,2009,46.42137,14.05217,"(46.42137, 14.05217)"
Jhung,12085,L5,5900,1873,31.3,72.38333,"(31.3, 72.38333)"
Jiange,12086,H5,222,1964,31.91667,104.91667,"(31.91667, 104.91667)"
Jianshi,12087,"Iron, IIIAB",600000,1890,30.80833,109.5,"(30.80833, 109.5)"
Jilin,12171,H5,4000000,1976,44.05,126.16667,"(44.05, 126.16667)"
Jodiya,47362,L5,100,2006,22.68,70.31333,"(22.68, 70.31333)"
Jodzie,12173,Howardite,30,1877,55.7,24.4,"(55.7, 24.4)"
Johnstown,12198,Diogenite,40300,1924,40.35,-104.9,"(40.35, -104.9)"
Jolomba,12199,LL6,483,1974,-11.85,15.83333,"(-11.85, 15.83333)"
Jonzac,12202,Eucrite-mmict,5000,1819,45.43333,-0.45,"(45.43333, -0.45)"
Juancheng,12203,H5,100000,1997,35.5,115.41667,"(35.5, 115.41667)"
Judesegeri,12207,H6,680,1876,12.85,76.8,"(12.85, 76.8)"
Jumapalo,12209,L6,32490,1984,-7.71667,111.2,"(-7.71667, 111.2)"
Junan,12210,L6,950,1976,35.2,118.8,"(35.2, 118.8)"
Juromenha,12213,"Iron, IIIAB",25250,1968,38.74028,-7.27,"(38.74028, -7.27)"
Juvinas,12214,Eucrite-mmict,91000,1821,44.71667,4.3,"(44.71667, 4.3)"
Kaba,12218,CV3,3000,1857,47.35,21.3,"(47.35, 21.3)"
Kabo,12220,H4,13400,1971,11.85,8.21667,"(11.85, 8.21667)"
Kadonah,12221,H6,89,1822,27.08333,78.33333,"(27.08333, 78.33333)"
Kaee,12222,H5,230,1838,27.25,79.96667,"(27.25, 79.96667)"
Kagarlyk,12227,L6,1900,1908,49.86667,30.83333,"(49.86667, 30.83333)"
Kaidun,12228,CR2,2000,1980,15,48.3,"(15.0, 48.3)"
Kainsaz,12229,CO3.2,200000,1937,55.43333,53.25,"(55.43333, 53.25)"
Kakangari,12230,K3,350,1890,12.38333,78.51667,"(12.38333, 78.51667)"
Kakowa,12231,L6,577,1858,45.13333,21.66667,"(45.13333, 21.66667)"
Kalaba,12232,H4,950,1951,-6.83333,29.5,"(-6.83333, 29.5)"
Kalumbi,12236,L6,4500,1879,17.83333,73.98333,"(17.83333, 73.98333)"
Kamalpur,12238,L6,2770,1942,26.03333,81.46667,"(26.03333, 81.46667)"
Kamiomi,12240,H5,448,1913,36.04167,139.95667,"(36.04167, 139.95667)"
Kamsagar,12241,L6,1293,1902,14.18333,75.8,"(14.18333, 75.8)"
Kandahar (Afghanistan),12243,L6,299,1959,31.6,65.78333,"(31.6, 65.78333)"
Kangean,12245,H5,1630,1908,-7,115.5,"(-7.0, 115.5)"
Kangra Valley,12246,H5,400,1897,32.08333,76.3,"(32.08333, 76.3)"
Kapoeta,12251,Howardite,11355,1942,4.7,33.63333,"(4.7, 33.63333)"
Kaprada,47357,L5/6,1600,2004,20.33916,73.22329,"(20.33916, 73.22329)"
Kaptal-Aryk,12253,L6,3500,1937,42.45,73.36667,"(42.45, 73.36667)"
Karakol,12256,LL6,3000,1840,47.21667,81.01667,"(47.21667, 81.01667)"
Karatu,12258,LL6,2220,1963,-3.5,35.58333,"(-3.5, 35.58333)"
Karewar,12260,L6,180,1949,12.9,7.15,"(12.9, 7.15)"
Karkh,12262,L6,22000,1905,27.8,67.16667,"(27.8, 67.16667)"
Karloowala,12263,L6,2950,1955,31.58333,71.6,"(31.58333, 71.6)"
Karoonda,12264,CK4,41730,1930,-35.08333,139.91667,"(-35.08333, 139.91667)"
Kasamatsu,12266,H,710,1938,35.36667,136.76667,"(35.36667, 136.76667)"
Kasauli,30740,H4,16820,2003,29.58333,77.58333,"(29.58333, 77.58333)"
Katagum,35465,L6,1500,1999,11.33333,10.08333,"(11.33333, 10.08333)"
Kavarpura,47351,"Iron, IIE-an",6800,2006,25.14333,75.81333,"(25.14333, 75.81333)"
Kayakent,12268,"Iron, IIIAB",85000,1961,39.26333,31.78,"(39.26333, 31.78)"
Kediri,12270,L4,3300,1940,-7.75,112.01667,"(-7.75, 112.01667)"
