id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,star_name,constellation
29734,29807.0,43785.0,2256.0,,Kap Col,,6.275871,-35.140519,55.9597,0.39,87.58,24.0,4.37,0.631,G8II,0.978,-3.302105,45.641526,-32.209615,-2.54e-06,3.365e-05,5.3e-06,1.6430191815442667,-0.6133177507515662,1.8907734e-09,4.24599821e-07,Kap,,Col,1,29734,,48.70796664925366,,,,,Dove
29987,30060.0,43378.0,2238.0,,2    Lyn,,6.327052,59.010964,48.0077,-3.51,24.43,-4.0,4.44,1.033,A2Vs,0.032,-2.113811,24.62735,41.155331,1.41e-06,-6.88e-06,-5.8e-07,1.6564184481015984,1.0299356243498423,-1.70169602e-08,1.18439982e-07,,2.0,Lyn,1,29987,,33.6356635748362,UZ,4.451,4.431,,Lynx
30049,30122.0,44402.0,2282.0,,1Zet CMa,Furud,6.338553,-30.063367,111.1111,8.0,3.81,32.0,3.02,-2.209,B2.5V,-0.16,-8.512138,95.786306,-55.662081,-6.89e-06,2.886e-05,-1.462e-05,1.6594293653695764,-0.5247047423752412,3.87850944e-08,1.8471401e-08,Zet,1.0,CMa,1,30049,,666.1929002234552,,,,Furud,Greater Dog
30204,30277.0,44762.0,2296.0,,Del Col,,6.368564,-33.4364,71.736,-24.19,-52.48,-3.0,3.85,-0.429,G7II,0.858,-5.767253,59.585068,-39.52731,9.59e-06,-1.175e-05,-1.354e-05,1.6672861988312433,-0.5835752702644162,-1.172764293e-07,-2.54430219e-07,Del,,Col,1,30204,,129.30043917962797,,,,,Dove
30251,30324.0,44743.0,2294.0,,2Bet CMa,Mirzam,6.378329,-17.955918,151.0574,-3.45,-0.47,34.0,1.98,-3.916,B1II/III,-0.24,-14.209731,142.995999,-46.568852,-7.5e-07,3.306e-05,-1.105e-05,1.6698426956468702,-0.31338988393796,-1.6726072e-08,-2.278624e-09,Bet,2.0,CMa,1,30251,,3209.223768048436,Bet,1.999,1.969,Mirzam,Greater Dog
30270,30343.0,44478.0,2286.0,,13Mu  Gem,Tejat,6.382673,22.513586,71.0227,56.84,-108.79,55.0,2.87,-1.387,M3IIIvar,1.621,-6.562116,65.281443,27.194957,-2.61e-05,6.402e-05,-1.306e-05,1.6709799892208403,0.3929361989979738,2.75568096e-07,-5.27428803e-07,Mu,13.0,Gem,1,30270,,312.4640085806112,Mu,2.946,2.826,Tejat,Twins
30346,30419.0,44769.0,2298.0,,8Eps Mon,,6.396135,4.592865,37.4953,-20.88,10.75,15.0,4.39,1.52,A5IV,0.215,-3.86914,37.174221,3.002439,2.21e-06,1.545e-05,3.18e-06,1.6745041872454056,0.0801606150278625,-1.012290965e-07,5.211747e-08,Eps,8.0,Mon,1,30346,,21.47830474130533,,,,,Unicorn
30365,30438.0,45348.0,2326.0,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21.0,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-1.14e-05,2.059e-05,-1.049e-05,1.6753053519997292,-0.9197127748902676,9.69142547e-08,1.14755398e-07,Alp,,Car,1,30365,,13854.791675667217,,-0.547,-0.667,Canopus,Keel
30592,30665.0,45194.0,,,,,6.444224,13.101172,69.979,10.74,-102.47,-8.0,6.6,2.375,F7V,0.556,-7.908699,67.69707,15.86221,-3.61e-06,-5.1e-07,-3.571e-05,1.6870939746036564,0.2286585890999425,5.20689893e-08,-4.96788578e-07,,,Gem,1,30592,,9.772372209558103,,,,,Unicorn
30794,30867.0,45725.0,2356.0,,11Bet Mon,,6.480297,-7.033062,207.4689,-7.0,-4.97,20.0,3.76,-2.825,B3Ve,-0.113,-25.823011,204.282357,-25.402943,4.52e-06,2.042e-05,-7.47e-06,1.6965378440516206,-0.1227500968333412,-3.39369576e-08,-2.4095239e-08,Bet,11.0,Mon,1,30794,,1174.8975549395302,Bet,3.808,3.738,,Unicorn
30810,30883.0,45542.0,2343.0,,18Nu  Gem,,6.482719,20.212133,166.9449,-5.98,-14.08,39.0,4.13,-1.983,B6III,-0.115,-19.745914,155.415378,57.67907,-4.1e-07,4.165e-05,3.09e-06,1.6971717583212416,0.3527682687095475,-2.89918581e-08,-6.8261766e-08,Nu,18.0,Gem,1,30810,,541.0034068634678,,,,,Twins
31139,31216.0,46300.0,2385.0,,13    Mon,,6.548396,7.332965,100000.0,-3.89,-5.8,12.0,4.47,-15.53,A0Ib,0.023,-14190.69431,98161.685934,12763.527373,0.00181327,0.00063703,-0.00278711,1.7143661839815436,0.1279843849570612,-1.88592522e-08,-2.8119193e-08,,13.0,Mon,1,31139,,141905752.16890898,,,,,Unicorn
31339,31416.0,46933.0,2414.0,,5Xi 2CMa,,6.584274,-22.964793,135.318,13.11,16.52,26.0,4.54,-1.117,A0III,-0.035,-18.983936,123.138801,-52.796495,-1.287e-05,2.707e-05,-4e-07,1.7237589851418933,-0.400811249201825,6.35590735e-08,8.009122e-08,Xi-2,5.0,CMa,1,31339,,243.6688423459584,,,,,Greater Dog
31512,31592.0,47205.0,2429.0,Gl 239.1,7Nu 2CMa,,6.611399,-19.255879,19.7511,62.32,-69.91,4.1,3.95,2.472,K1III+...,1.037,-2.971851,18.407811,-6.513678,-6.17e-06,7.8e-07,-7.7e-06,1.7308601236890002,-0.336078491665885,3.021358857e-07,-3.38933244e-07,Nu-2,7.0,CMa,1,31512,,8.937169608501975,,,,,Greater Dog
31601,31681.0,47105.0,2421.0,,24Gam Gem,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13.0,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,1.91e-06,-9.5e-06,-1.418e-05,1.735344593460758,0.2862209441734937,-9.8901991e-09,-3.24437315e-07,Gam,24.0,Gem,1,31601,,165.34840121711517,,,,Alhena,Twins
31605,31685.0,47670.0,2451.0,,Nu  Pup,Pipit,6.629353,-43.195934,113.8952,-0.43,-3.99,28.0,3.17,-2.113,B8III SB,-0.103,-13.61885,81.907249,-77.960909,-2.94e-06,1.915e-05,-2.121e-05,1.7355605987588851,-0.7539112642605688,-2.0846988e-09,-1.9344065e-08,Nu,,Pup,1,31605,,609.8176639987851,,,,,Keel; Stern
31895,31978.0,47839.0,2456.0,,15    Mon,,6.682961,9.895754,281.6901,-0.66,-2.51,33.0,4.66,-2.589,O7,-0.233,-49.352633,273.075535,48.410212,-5.13e-06,3.346e-05,2.42e-06,1.7495951730020098,0.1727134905227987,-3.1997703e-09,-1.2168823e-08,,15.0,Mon,1,31895,,945.3660459579652,S,4.675,4.635,,Unicorn
32161,32246.0,48329.0,2473.0,,27Eps Gem,Mebsuta,6.732202,25.131124,259.0674,-5.93,-12.81,10.0,3.06,-4.007,A3mA6-A9,1.377,-44.684834,230.247724,110.023705,4.25e-06,1.722e-05,-1.022e-05,1.7624862964423016,0.43862086058447,-2.87494513e-08,-6.2104632e-08,Eps,27.0,Gem,1,32161,,3489.7956743787418,,,,Mebsuta,Twins
32263,32349.0,48915.0,2491.0,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,9.53e-06,-1.207e-05,-1.221e-05,1.7677953696021995,-0.291751258517685,-2.6471311772e-06,-5.929659164e-06,Alp,9.0,CMa,1,32263,Gl 244,22.824433121735037,,-1.333,-1.523,Sirius,Greater Dog
